[Trial 1] Config: {'learning_rate': np.float64(1.900437523873714e-05), 'weight_decay': np.float64(1.1220740288380033e-05), 'adam_beta1': 0.8522555704901327, 'adam_beta2': 0.9609373261692923, 'warmup_steps': 427, 'train_batch': 11}
[Trial 8] Config: {'learning_rate': np.float64(4.5583674266187176e-05), 'weight_decay': np.float64(0.00017259948865207625), 'adam_beta1': 0.9637243110590477, 'adam_beta2': 0.9782902551175813, 'warmup_steps': 410, 'train_batch': 10}
[Trial 8] Config: {'learning_rate': np.float64(4.5583674266187176e-05), 'weight_decay': np.float64(0.00017259948865207625), 'adam_beta1': 0.9637243110590477, 'adam_beta2': 0.9782902551175813, 'warmup_steps': 410, 'train_batch': 10}
[Trial 9] Config: {'learning_rate': np.float64(1.23494827350644e-06), 'weight_decay': np.float64(2.856252195909326e-05), 'adam_beta1': 0.8549837130844004, 'adam_beta2': 0.9539098068692577, 'warmup_steps': 169, 'train_batch': 11}
[Trial 9] Config: {'learning_rate': np.float64(1.23494827350644e-06), 'weight_decay': np.float64(2.856252195909326e-05), 'adam_beta1': 0.8549837130844004, 'adam_beta2': 0.9539098068692577, 'warmup_steps': 169, 'train_batch': 11}
[Trial 10] Config: {'learning_rate': np.float64(5.757745307830578e-06), 'weight_decay': np.float64(8.069016522267495e-05), 'adam_beta1': 0.9584809810617425, 'adam_beta2': 0.9579700507606481, 'warmup_steps': 231, 'train_batch': 14}
[Trial 10] Config: {'learning_rate': np.float64(5.757745307830578e-06), 'weight_decay': np.float64(8.069016522267495e-05), 'adam_beta1': 0.9584809810617425, 'adam_beta2': 0.9579700507606481, 'warmup_steps': 231, 'train_batch': 14}
[Trial 11] Config: {'learning_rate': np.float64(4.634714813327543e-06), 'weight_decay': np.float64(1.0392984091368012e-05), 'adam_beta1': 0.8223542138934136, 'adam_beta2': 0.9783532365560531, 'warmup_steps': 440, 'train_batch': 11}
[Trial 11] Config: {'learning_rate': np.float64(4.634714813327543e-06), 'weight_decay': np.float64(1.0392984091368012e-05), 'adam_beta1': 0.8223542138934136, 'adam_beta2': 0.9783532365560531, 'warmup_steps': 440, 'train_batch': 11}
[Trial 12] Config: {'learning_rate': np.float64(2.0519282036544663e-05), 'weight_decay': np.float64(0.0003370084726860904), 'adam_beta1': 0.8810851678252221, 'adam_beta2': 0.9785219612121582, 'warmup_steps': 52, 'train_batch': 30}
[Trial 12] Config: {'learning_rate': np.float64(2.0519282036544663e-05), 'weight_decay': np.float64(0.0003370084726860904), 'adam_beta1': 0.8810851678252221, 'adam_beta2': 0.9785219612121582, 'warmup_steps': 52, 'train_batch': 30}
[Trial 13] Config: {'learning_rate': np.float64(1.2072060056862844e-05), 'weight_decay': np.float64(1.6684457606507613e-05), 'adam_beta1': 0.8962387949228287, 'adam_beta2': 0.9981002480983734, 'warmup_steps': 113, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(1.2072060056862844e-05), 'weight_decay': np.float64(1.6684457606507613e-05), 'adam_beta1': 0.8962387949228287, 'adam_beta2': 0.9981002480983734, 'warmup_steps': 113, 'train_batch': 31}
[Trial 14] Config: {'learning_rate': np.float64(2.22793143459855e-05), 'weight_decay': np.float64(4.284669202036437e-05), 'adam_beta1': 0.9863971358537674, 'adam_beta2': 0.9830204286575317, 'warmup_steps': 403, 'train_batch': 13}
[Trial 14] Config: {'learning_rate': np.float64(2.22793143459855e-05), 'weight_decay': np.float64(4.284669202036437e-05), 'adam_beta1': 0.9863971358537674, 'adam_beta2': 0.9830204286575317, 'warmup_steps': 403, 'train_batch': 13}
[Trial 15] Config: {'learning_rate': np.float64(4.916569609491208e-06), 'weight_decay': np.float64(9.740688259564564e-05), 'adam_beta1': 0.8141313922405243, 'adam_beta2': 0.9561451318860054, 'warmup_steps': 337, 'train_batch': 11}
[Trial 15] Config: {'learning_rate': np.float64(4.916569609491208e-06), 'weight_decay': np.float64(9.740688259564564e-05), 'adam_beta1': 0.8141313922405243, 'adam_beta2': 0.9561451318860054, 'warmup_steps': 337, 'train_batch': 11}
[Trial 16] Config: {'learning_rate': np.float64(1.461990027815888e-05), 'weight_decay': np.float64(0.0004669965468126083), 'adam_beta1': 0.8325855487585068, 'adam_beta2': 0.9517136753201484, 'warmup_steps': 65, 'train_batch': 10}
[Trial 16] Config: {'learning_rate': np.float64(1.461990027815888e-05), 'weight_decay': np.float64(0.0004669965468126083), 'adam_beta1': 0.8325855487585068, 'adam_beta2': 0.9517136753201484, 'warmup_steps': 65, 'train_batch': 10}
[Trial 17] Config: {'learning_rate': np.float64(4.428862626332563e-05), 'weight_decay': np.float64(5.15194364899365e-05), 'adam_beta1': 0.8402396234869958, 'adam_beta2': 0.9813405771255493, 'warmup_steps': 323, 'train_batch': 31}
[Trial 17] Config: {'learning_rate': np.float64(4.428862626332563e-05), 'weight_decay': np.float64(5.15194364899365e-05), 'adam_beta1': 0.8402396234869958, 'adam_beta2': 0.9813405771255493, 'warmup_steps': 323, 'train_batch': 31}
[Trial 18] Config: {'learning_rate': np.float64(7.331396220219998e-05), 'weight_decay': np.float64(0.0004641616438491821), 'adam_beta1': 0.9136591935157776, 'adam_beta2': 0.9683096217513084, 'warmup_steps': 207, 'train_batch': 10}
[Trial 18] Config: {'learning_rate': np.float64(7.331396220219998e-05), 'weight_decay': np.float64(0.0004641616438491821), 'adam_beta1': 0.9136591935157776, 'adam_beta2': 0.9683096217513084, 'warmup_steps': 207, 'train_batch': 10}
[Trial 19] Config: {'learning_rate': np.float64(7.921888854601892e-05), 'weight_decay': np.float64(0.00018515489991755062), 'adam_beta1': 0.8704368111491203, 'adam_beta2': 0.9826043940186501, 'warmup_steps': 154, 'train_batch': 12}
[Trial 19] Config: {'learning_rate': np.float64(7.921888854601892e-05), 'weight_decay': np.float64(0.00018515489991755062), 'adam_beta1': 0.8704368111491203, 'adam_beta2': 0.9826043940186501, 'warmup_steps': 154, 'train_batch': 12}
[Trial 20] Config: {'learning_rate': np.float64(1.4508725349778143e-06), 'weight_decay': np.float64(0.000895308285853424), 'adam_beta1': 0.8028301504254342, 'adam_beta2': 0.9616495218873023, 'warmup_steps': 313, 'train_batch': 25}
[Trial 20] Config: {'learning_rate': np.float64(1.4508725349778143e-06), 'weight_decay': np.float64(0.000895308285853424), 'adam_beta1': 0.8028301504254342, 'adam_beta2': 0.9616495218873023, 'warmup_steps': 313, 'train_batch': 25}
[Trial 21] Config: {'learning_rate': np.float64(8.03006378651031e-05), 'weight_decay': np.float64(8.318586714711889e-05), 'adam_beta1': 0.8313490301370621, 'adam_beta2': 0.9936148037314415, 'warmup_steps': 298, 'train_batch': 28}
[Trial 21] Config: {'learning_rate': np.float64(8.03006378651031e-05), 'weight_decay': np.float64(8.318586714711889e-05), 'adam_beta1': 0.8313490301370621, 'adam_beta2': 0.9936148037314415, 'warmup_steps': 298, 'train_batch': 28}
[Trial 22] Config: {'learning_rate': np.float64(4.3414006466146854e-05), 'weight_decay': np.float64(0.000731885968989406), 'adam_beta1': 0.8530161917209625, 'adam_beta2': 0.9796091765165329, 'warmup_steps': 66, 'train_batch': 10}
[Trial 22] Config: {'learning_rate': np.float64(4.3414006466146854e-05), 'weight_decay': np.float64(0.000731885968989406), 'adam_beta1': 0.8530161917209625, 'adam_beta2': 0.9796091765165329, 'warmup_steps': 66, 'train_batch': 10}
[Trial 23] Config: {'learning_rate': np.float64(2.2158712209412044e-06), 'weight_decay': np.float64(0.0003168437858419053), 'adam_beta1': 0.9812797498703003, 'adam_beta2': 0.9910681099295616, 'warmup_steps': 53, 'train_batch': 30}
[Trial 23] Config: {'learning_rate': np.float64(2.2158712209412044e-06), 'weight_decay': np.float64(0.0003168437858419053), 'adam_beta1': 0.9812797498703003, 'adam_beta2': 0.9910681099295616, 'warmup_steps': 53, 'train_batch': 30}
[Trial 24] Config: {'learning_rate': np.float64(8.432926264101934e-05), 'weight_decay': np.float64(2.207961307018213e-05), 'adam_beta1': 0.8230123934149742, 'adam_beta2': 0.9528080768287182, 'warmup_steps': 481, 'train_batch': 24}
[Trial 24] Config: {'learning_rate': np.float64(8.432926264101934e-05), 'weight_decay': np.float64(2.207961307018213e-05), 'adam_beta1': 0.8230123934149742, 'adam_beta2': 0.9528080768287182, 'warmup_steps': 481, 'train_batch': 24}
[Trial 25] Config: {'learning_rate': np.float64(5.070663298708602e-05), 'weight_decay': np.float64(3.072135364477788e-05), 'adam_beta1': 0.8016783645749093, 'adam_beta2': 0.9516497340202331, 'warmup_steps': 324, 'train_batch': 15}
[Trial 25] Config: {'learning_rate': np.float64(5.070663298708602e-05), 'weight_decay': np.float64(3.072135364477788e-05), 'adam_beta1': 0.8016783645749093, 'adam_beta2': 0.9516497340202331, 'warmup_steps': 324, 'train_batch': 15}
[Trial 26] Config: {'learning_rate': np.float64(7.693267656262897e-06), 'weight_decay': np.float64(0.0006059520766795235), 'adam_beta1': 0.8724258568882942, 'adam_beta2': 0.9845637905001641, 'warmup_steps': 333, 'train_batch': 25}
[Trial 26] Config: {'learning_rate': np.float64(7.693267656262897e-06), 'weight_decay': np.float64(0.0006059520766795235), 'adam_beta1': 0.8724258568882942, 'adam_beta2': 0.9845637905001641, 'warmup_steps': 333, 'train_batch': 25}
[Trial 27] Config: {'learning_rate': np.float64(5.366877287897467e-06), 'weight_decay': np.float64(0.00026102400876347134), 'adam_beta1': 0.8976600450277329, 'adam_beta2': 0.9590130187869071, 'warmup_steps': 293, 'train_batch': 27}
[Trial 27] Config: {'learning_rate': np.float64(5.366877287897467e-06), 'weight_decay': np.float64(0.00026102400876347134), 'adam_beta1': 0.8976600450277329, 'adam_beta2': 0.9590130187869071, 'warmup_steps': 293, 'train_batch': 27}
[Trial 28] Config: {'learning_rate': np.float64(4.233619138594455e-06), 'weight_decay': np.float64(0.00011359198296384422), 'adam_beta1': 0.944851906299591, 'adam_beta2': 0.9548744734227657, 'warmup_steps': 498, 'train_batch': 25}
[Trial 28] Config: {'learning_rate': np.float64(4.233619138594455e-06), 'weight_decay': np.float64(0.00011359198296384422), 'adam_beta1': 0.944851906299591, 'adam_beta2': 0.9548744734227657, 'warmup_steps': 498, 'train_batch': 25}
[Trial 29] Config: {'learning_rate': np.float64(1.928834166807768e-06), 'weight_decay': np.float64(0.0004895342657039986), 'adam_beta1': 0.8461188513040543, 'adam_beta2': 0.9987580172419548, 'warmup_steps': 76, 'train_batch': 32}
[Trial 29] Config: {'learning_rate': np.float64(1.928834166807768e-06), 'weight_decay': np.float64(0.0004895342657039986), 'adam_beta1': 0.8461188513040543, 'adam_beta2': 0.9987580172419548, 'warmup_steps': 76, 'train_batch': 32}
[Trial 30] Config: {'learning_rate': np.float64(1.7251160414735208e-05), 'weight_decay': np.float64(1.6091569342741625e-05), 'adam_beta1': 0.897096620798111, 'adam_beta2': 0.9662785968780517, 'warmup_steps': 102, 'train_batch': 21}
[Trial 30] Config: {'learning_rate': np.float64(1.7251160414735208e-05), 'weight_decay': np.float64(1.6091569342741625e-05), 'adam_beta1': 0.897096620798111, 'adam_beta2': 0.9662785968780517, 'warmup_steps': 102, 'train_batch': 21}
[Trial 31] Config: {'learning_rate': np.float64(2.114724150602837e-05), 'weight_decay': np.float64(0.00032157789716932915), 'adam_beta1': 0.9550994980335236, 'adam_beta2': 0.9611803639531136, 'warmup_steps': 213, 'train_batch': 10}
[Trial 31] Config: {'learning_rate': np.float64(2.114724150602837e-05), 'weight_decay': np.float64(0.00032157789716932915), 'adam_beta1': 0.9550994980335236, 'adam_beta2': 0.9611803639531136, 'warmup_steps': 213, 'train_batch': 10}
[Trial 32] Config: {'learning_rate': np.float64(2.0179464931065552e-06), 'weight_decay': np.float64(0.0003612936881501741), 'adam_beta1': 0.8137757456302643, 'adam_beta2': 0.9603360557854175, 'warmup_steps': 202, 'train_batch': 11}
[Trial 32] Config: {'learning_rate': np.float64(2.0179464931065552e-06), 'weight_decay': np.float64(0.0003612936881501741), 'adam_beta1': 0.8137757456302643, 'adam_beta2': 0.9603360557854175, 'warmup_steps': 202, 'train_batch': 11}
[Trial 33] Config: {'learning_rate': np.float64(6.450143233960967e-05), 'weight_decay': np.float64(0.000631963971748947), 'adam_beta1': 0.9629555577039719, 'adam_beta2': 0.9543947063088417, 'warmup_steps': 68, 'train_batch': 18}
[Trial 33] Config: {'learning_rate': np.float64(6.450143233960967e-05), 'weight_decay': np.float64(0.000631963971748947), 'adam_beta1': 0.9629555577039719, 'adam_beta2': 0.9543947063088417, 'warmup_steps': 68, 'train_batch': 18}
[Trial 34] Config: {'learning_rate': np.float64(1.4283376137009519e-06), 'weight_decay': np.float64(1.3700873430271022e-05), 'adam_beta1': 0.9721474552154541, 'adam_beta2': 0.9552653468549251, 'warmup_steps': 184, 'train_batch': 17}
[Trial 34] Config: {'learning_rate': np.float64(1.4283376137009519e-06), 'weight_decay': np.float64(1.3700873430271022e-05), 'adam_beta1': 0.9721474552154541, 'adam_beta2': 0.9552653468549251, 'warmup_steps': 184, 'train_batch': 17}
[Trial 35] Config: {'learning_rate': np.float64(1.0613614020563026e-06), 'weight_decay': np.float64(2.2577927166433328e-05), 'adam_beta1': 0.9200311499834061, 'adam_beta2': 0.9917769374847412, 'warmup_steps': 280, 'train_batch': 27}
[Trial 35] Config: {'learning_rate': np.float64(1.0613614020563026e-06), 'weight_decay': np.float64(2.2577927166433328e-05), 'adam_beta1': 0.9200311499834061, 'adam_beta2': 0.9917769374847412, 'warmup_steps': 280, 'train_batch': 27}
[Trial 36] Config: {'learning_rate': np.float64(4.089711446325118e-05), 'weight_decay': np.float64(0.0002380238150935697), 'adam_beta1': 0.9767784261703492, 'adam_beta2': 0.984163159251213, 'warmup_steps': 254, 'train_batch': 8}
[Trial 36] Config: {'learning_rate': np.float64(4.089711446325118e-05), 'weight_decay': np.float64(0.0002380238150935697), 'adam_beta1': 0.9767784261703492, 'adam_beta2': 0.984163159251213, 'warmup_steps': 254, 'train_batch': 8}
[Trial 37] Config: {'learning_rate': np.float64(2.0887166652532586e-05), 'weight_decay': np.float64(0.0005304330721987769), 'adam_beta1': 0.8145696198940278, 'adam_beta2': 0.9723986361920833, 'warmup_steps': 200, 'train_batch': 14}
[Trial 37] Config: {'learning_rate': np.float64(2.0887166652532586e-05), 'weight_decay': np.float64(0.0005304330721987769), 'adam_beta1': 0.8145696198940278, 'adam_beta2': 0.9723986361920833, 'warmup_steps': 200, 'train_batch': 14}
[Trial 38] Config: {'learning_rate': np.float64(3.869557160080116e-05), 'weight_decay': np.float64(0.0008660879352159386), 'adam_beta1': 0.8155920642614365, 'adam_beta2': 0.9575825216770172, 'warmup_steps': 314, 'train_batch': 21}
[Trial 38] Config: {'learning_rate': np.float64(3.869557160080116e-05), 'weight_decay': np.float64(0.0008660879352159386), 'adam_beta1': 0.8155920642614365, 'adam_beta2': 0.9575825216770172, 'warmup_steps': 314, 'train_batch': 21}
[Trial 39] Config: {'learning_rate': np.float64(2.13405687579505e-05), 'weight_decay': np.float64(0.0001197059400959834), 'adam_beta1': 0.936514618396759, 'adam_beta2': 0.9921475476026534, 'warmup_steps': 72, 'train_batch': 27}
[Trial 39] Config: {'learning_rate': np.float64(2.13405687579505e-05), 'weight_decay': np.float64(0.0001197059400959834), 'adam_beta1': 0.936514618396759, 'adam_beta2': 0.9921475476026534, 'warmup_steps': 72, 'train_batch': 27}
[Trial 40] Config: {'learning_rate': np.float64(2.482106727786084e-05), 'weight_decay': np.float64(0.00014827386737250556), 'adam_beta1': 0.8228751075267792, 'adam_beta2': 0.9779902901649475, 'warmup_steps': 359, 'train_batch': 11}
[Trial 40] Config: {'learning_rate': np.float64(2.482106727786084e-05), 'weight_decay': np.float64(0.00014827386737250556), 'adam_beta1': 0.8228751075267792, 'adam_beta2': 0.9779902901649475, 'warmup_steps': 359, 'train_batch': 11}
[Trial 41] Config: {'learning_rate': np.float64(4.453285798510452e-05), 'weight_decay': np.float64(1.5311942217498423e-05), 'adam_beta1': 0.8113268700242043, 'adam_beta2': 0.9642833788990974, 'warmup_steps': 408, 'train_batch': 20}
[Trial 41] Config: {'learning_rate': np.float64(4.453285798510452e-05), 'weight_decay': np.float64(1.5311942217498423e-05), 'adam_beta1': 0.8113268700242043, 'adam_beta2': 0.9642833788990974, 'warmup_steps': 408, 'train_batch': 20}
[Trial 42] Config: {'learning_rate': np.float64(7.636548926822167e-06), 'weight_decay': np.float64(1.1948299267489707e-05), 'adam_beta1': 0.8510113817453384, 'adam_beta2': 0.9695584660470485, 'warmup_steps': 427, 'train_batch': 12}
[Trial 42] Config: {'learning_rate': np.float64(7.636548926822167e-06), 'weight_decay': np.float64(1.1948299267489707e-05), 'adam_beta1': 0.8510113817453384, 'adam_beta2': 0.9695584660470485, 'warmup_steps': 427, 'train_batch': 12}
[Trial 43] Config: {'learning_rate': np.float64(2.409181363158682e-06), 'weight_decay': np.float64(0.000636200655728123), 'adam_beta1': 0.937014023065567, 'adam_beta2': 0.9858871473073959, 'warmup_steps': 114, 'train_batch': 18}
[Trial 43] Config: {'learning_rate': np.float64(2.409181363158682e-06), 'weight_decay': np.float64(0.000636200655728123), 'adam_beta1': 0.937014023065567, 'adam_beta2': 0.9858871473073959, 'warmup_steps': 114, 'train_batch': 18}
[Trial 44] Config: {'learning_rate': np.float64(5.150004500981759e-05), 'weight_decay': np.float64(2.7624409364590394e-05), 'adam_beta1': 0.8151834851503372, 'adam_beta2': 0.9847669113874435, 'warmup_steps': 210, 'train_batch': 22}
[Trial 44] Config: {'learning_rate': np.float64(5.150004500981759e-05), 'weight_decay': np.float64(2.7624409364590394e-05), 'adam_beta1': 0.8151834851503372, 'adam_beta2': 0.9847669113874435, 'warmup_steps': 210, 'train_batch': 22}
[Trial 45] Config: {'learning_rate': np.float64(2.5092813862790837e-06), 'weight_decay': np.float64(0.00032333989303815245), 'adam_beta1': 0.8053163415193558, 'adam_beta2': 0.9919008684754371, 'warmup_steps': 68, 'train_batch': 22}
[Trial 45] Config: {'learning_rate': np.float64(2.5092813862790837e-06), 'weight_decay': np.float64(0.00032333989303815245), 'adam_beta1': 0.8053163415193558, 'adam_beta2': 0.9919008684754371, 'warmup_steps': 68, 'train_batch': 22}
[Trial 46] Config: {'learning_rate': np.float64(1.967405736224146e-05), 'weight_decay': np.float64(0.0001271651798540274), 'adam_beta1': 0.97843416929245, 'adam_beta2': 0.9970687408447265, 'warmup_steps': 218, 'train_batch': 32}
[Trial 46] Config: {'learning_rate': np.float64(1.967405736224146e-05), 'weight_decay': np.float64(0.0001271651798540274), 'adam_beta1': 0.97843416929245, 'adam_beta2': 0.9970687408447265, 'warmup_steps': 218, 'train_batch': 32}
[Trial 47] Config: {'learning_rate': np.float64(4.079983504349225e-05), 'weight_decay': np.float64(1.3321337737589587e-05), 'adam_beta1': 0.8895574200153351, 'adam_beta2': 0.9942117449641228, 'warmup_steps': 81, 'train_batch': 29}
[Trial 47] Config: {'learning_rate': np.float64(4.079983504349225e-05), 'weight_decay': np.float64(1.3321337737589587e-05), 'adam_beta1': 0.8895574200153351, 'adam_beta2': 0.9942117449641228, 'warmup_steps': 81, 'train_batch': 29}
[Trial 48] Config: {'learning_rate': np.float64(1.4041436014030665e-06), 'weight_decay': np.float64(5.332738499882417e-05), 'adam_beta1': 0.985192791223526, 'adam_beta2': 0.9954231511950493, 'warmup_steps': 58, 'train_batch': 28}
[Trial 48] Config: {'learning_rate': np.float64(1.4041436014030665e-06), 'weight_decay': np.float64(5.332738499882417e-05), 'adam_beta1': 0.985192791223526, 'adam_beta2': 0.9954231511950493, 'warmup_steps': 58, 'train_batch': 28}
[Trial 49] Config: {'learning_rate': np.float64(7.2329200870738735e-06), 'weight_decay': np.float64(0.00020521991365234104), 'adam_beta1': 0.8931136313080787, 'adam_beta2': 0.9547421806752682, 'warmup_steps': 465, 'train_batch': 8}
[Trial 49] Config: {'learning_rate': np.float64(7.2329200870738735e-06), 'weight_decay': np.float64(0.00020521991365234104), 'adam_beta1': 0.8931136313080787, 'adam_beta2': 0.9547421806752682, 'warmup_steps': 465, 'train_batch': 8}
[Trial 50] Config: {'learning_rate': np.float64(4.780364387448031e-05), 'weight_decay': np.float64(1.0548075094910006e-05), 'adam_beta1': 0.8931731605529786, 'adam_beta2': 0.957793388068676, 'warmup_steps': 390, 'train_batch': 23}
[Trial 50] Config: {'learning_rate': np.float64(4.780364387448031e-05), 'weight_decay': np.float64(1.0548075094910006e-05), 'adam_beta1': 0.8931731605529786, 'adam_beta2': 0.957793388068676, 'warmup_steps': 390, 'train_batch': 23}
