[Trial 1] Config: {'learning_rate': np.float64(1.900437523873714e-05), 'weight_decay': np.float64(1.1220740288380033e-05), 'adam_beta1': 0.8522555704901327, 'adam_beta2': 0.9609373261692923, 'warmup_steps': 427, 'train_batch': 11}
[Trial 8] Config: {'learning_rate': np.float64(4.5583674266187176e-05), 'weight_decay': np.float64(0.00017259948865207625), 'adam_beta1': 0.9637243110590477, 'adam_beta2': 0.9782902551175813, 'warmup_steps': 410, 'train_batch': 10}
[Trial 8] Config: {'learning_rate': np.float64(4.5583674266187176e-05), 'weight_decay': np.float64(0.00017259948865207625), 'adam_beta1': 0.9637243110590477, 'adam_beta2': 0.9782902551175813, 'warmup_steps': 410, 'train_batch': 10}
[Trial 9] Config: {'learning_rate': np.float64(1.23494827350644e-06), 'weight_decay': np.float64(2.856252195909326e-05), 'adam_beta1': 0.8549837130844004, 'adam_beta2': 0.9539098068692577, 'warmup_steps': 169, 'train_batch': 11}
[Trial 9] Config: {'learning_rate': np.float64(1.23494827350644e-06), 'weight_decay': np.float64(2.856252195909326e-05), 'adam_beta1': 0.8549837130844004, 'adam_beta2': 0.9539098068692577, 'warmup_steps': 169, 'train_batch': 11}
[Trial 10] Config: {'learning_rate': np.float64(5.757745307830578e-06), 'weight_decay': np.float64(8.069016522267495e-05), 'adam_beta1': 0.9584809810617425, 'adam_beta2': 0.9579700507606481, 'warmup_steps': 231, 'train_batch': 14}
[Trial 10] Config: {'learning_rate': np.float64(5.757745307830578e-06), 'weight_decay': np.float64(8.069016522267495e-05), 'adam_beta1': 0.9584809810617425, 'adam_beta2': 0.9579700507606481, 'warmup_steps': 231, 'train_batch': 14}
[Trial 11] Config: {'learning_rate': np.float64(4.634714813327543e-06), 'weight_decay': np.float64(1.0392984091368012e-05), 'adam_beta1': 0.8223542138934136, 'adam_beta2': 0.9783532365560531, 'warmup_steps': 440, 'train_batch': 11}
[Trial 11] Config: {'learning_rate': np.float64(4.634714813327543e-06), 'weight_decay': np.float64(1.0392984091368012e-05), 'adam_beta1': 0.8223542138934136, 'adam_beta2': 0.9783532365560531, 'warmup_steps': 440, 'train_batch': 11}
[Trial 12] Config: {'learning_rate': np.float64(2.0519282036544663e-05), 'weight_decay': np.float64(0.0003370084726860904), 'adam_beta1': 0.8810851678252221, 'adam_beta2': 0.9785219612121582, 'warmup_steps': 52, 'train_batch': 30}
[Trial 12] Config: {'learning_rate': np.float64(2.0519282036544663e-05), 'weight_decay': np.float64(0.0003370084726860904), 'adam_beta1': 0.8810851678252221, 'adam_beta2': 0.9785219612121582, 'warmup_steps': 52, 'train_batch': 30}
[Trial 13] Config: {'learning_rate': np.float64(1.2072060056862844e-05), 'weight_decay': np.float64(1.6684457606507613e-05), 'adam_beta1': 0.8962387949228287, 'adam_beta2': 0.9981002480983734, 'warmup_steps': 113, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(1.2072060056862844e-05), 'weight_decay': np.float64(1.6684457606507613e-05), 'adam_beta1': 0.8962387949228287, 'adam_beta2': 0.9981002480983734, 'warmup_steps': 113, 'train_batch': 31}
[Trial 14] Config: {'learning_rate': np.float64(2.22793143459855e-05), 'weight_decay': np.float64(4.284669202036437e-05), 'adam_beta1': 0.9863971358537674, 'adam_beta2': 0.9830204286575317, 'warmup_steps': 403, 'train_batch': 13}
[Trial 14] Config: {'learning_rate': np.float64(2.22793143459855e-05), 'weight_decay': np.float64(4.284669202036437e-05), 'adam_beta1': 0.9863971358537674, 'adam_beta2': 0.9830204286575317, 'warmup_steps': 403, 'train_batch': 13}
[Trial 15] Config: {'learning_rate': np.float64(4.916569609491208e-06), 'weight_decay': np.float64(9.740688259564564e-05), 'adam_beta1': 0.8141313922405243, 'adam_beta2': 0.9561451318860054, 'warmup_steps': 337, 'train_batch': 11}
[Trial 15] Config: {'learning_rate': np.float64(4.916569609491208e-06), 'weight_decay': np.float64(9.740688259564564e-05), 'adam_beta1': 0.8141313922405243, 'adam_beta2': 0.9561451318860054, 'warmup_steps': 337, 'train_batch': 11}
[Trial 16] Config: {'learning_rate': np.float64(1.461990027815888e-05), 'weight_decay': np.float64(0.0004669965468126083), 'adam_beta1': 0.8325855600833894, 'adam_beta2': 0.9517136753201484, 'warmup_steps': 65, 'train_batch': 10}
[Trial 16] Config: {'learning_rate': np.float64(1.461990027815888e-05), 'weight_decay': np.float64(0.0004669965468126083), 'adam_beta1': 0.8325855600833894, 'adam_beta2': 0.9517136753201484, 'warmup_steps': 65, 'train_batch': 10}
[Trial 17] Config: {'learning_rate': np.float64(4.428862626332563e-05), 'weight_decay': np.float64(5.1519415277621745e-05), 'adam_beta1': 0.8402396348118782, 'adam_beta2': 0.9813405683636666, 'warmup_steps': 323, 'train_batch': 31}
[Trial 17] Config: {'learning_rate': np.float64(4.428862626332563e-05), 'weight_decay': np.float64(5.1519415277621745e-05), 'adam_beta1': 0.8402396348118782, 'adam_beta2': 0.9813405683636666, 'warmup_steps': 323, 'train_batch': 31}
[Trial 18] Config: {'learning_rate': np.float64(7.331396220219998e-05), 'weight_decay': np.float64(0.0004641620260718777), 'adam_beta1': 0.9136592161655426, 'adam_beta2': 0.9683095896244048, 'warmup_steps': 207, 'train_batch': 10}
[Trial 18] Config: {'learning_rate': np.float64(7.331396220219998e-05), 'weight_decay': np.float64(0.0004641620260718777), 'adam_beta1': 0.9136592161655426, 'adam_beta2': 0.9683095896244048, 'warmup_steps': 207, 'train_batch': 10}
[Trial 19] Config: {'learning_rate': np.float64(7.921888854601892e-05), 'weight_decay': np.float64(0.00018515479827141437), 'adam_beta1': 0.8704368281364441, 'adam_beta2': 0.9826043910980224, 'warmup_steps': 154, 'train_batch': 12}
[Trial 19] Config: {'learning_rate': np.float64(7.921888854601892e-05), 'weight_decay': np.float64(0.00018515479827141437), 'adam_beta1': 0.8704368281364441, 'adam_beta2': 0.9826043910980224, 'warmup_steps': 154, 'train_batch': 12}
[Trial 20] Config: {'learning_rate': np.float64(1.4508725349778143e-06), 'weight_decay': np.float64(0.000895308285853424), 'adam_beta1': 0.8028301504254342, 'adam_beta2': 0.9616495189666747, 'warmup_steps': 313, 'train_batch': 25}
[Trial 20] Config: {'learning_rate': np.float64(1.4508725349778143e-06), 'weight_decay': np.float64(0.000895308285853424), 'adam_beta1': 0.8028301504254342, 'adam_beta2': 0.9616495189666747, 'warmup_steps': 313, 'train_batch': 25}
[Trial 21] Config: {'learning_rate': np.float64(8.030061582342151e-05), 'weight_decay': np.float64(8.318490813935397e-05), 'adam_beta1': 0.8313493075966836, 'adam_beta2': 0.9936148066520691, 'warmup_steps': 298, 'train_batch': 28}
[Trial 21] Config: {'learning_rate': np.float64(8.030061582342151e-05), 'weight_decay': np.float64(8.318490813935397e-05), 'adam_beta1': 0.8313493075966836, 'adam_beta2': 0.9936148066520691, 'warmup_steps': 298, 'train_batch': 28}
[Trial 22] Config: {'learning_rate': np.float64(4.3414042216232695e-05), 'weight_decay': np.float64(0.0007318845627254918), 'adam_beta1': 0.8530165427923203, 'adam_beta2': 0.979609147310257, 'warmup_steps': 66, 'train_batch': 10}
[Trial 22] Config: {'learning_rate': np.float64(4.3414042216232695e-05), 'weight_decay': np.float64(0.0007318845627254918), 'adam_beta1': 0.8530165427923203, 'adam_beta2': 0.979609147310257, 'warmup_steps': 66, 'train_batch': 10}
[Trial 23] Config: {'learning_rate': np.float64(2.2158709168244966e-06), 'weight_decay': np.float64(0.0003168415246221007), 'adam_beta1': 0.9812797611951828, 'adam_beta2': 0.9910680836439133, 'warmup_steps': 53, 'train_batch': 30}
[Trial 23] Config: {'learning_rate': np.float64(2.2158709168244966e-06), 'weight_decay': np.float64(0.0003168415246221007), 'adam_beta1': 0.9812797611951828, 'adam_beta2': 0.9910680836439133, 'warmup_steps': 53, 'train_batch': 30}
[Trial 24] Config: {'learning_rate': np.float64(8.432923949352256e-05), 'weight_decay': np.float64(2.2079461555134966e-05), 'adam_beta1': 0.8230125859379769, 'adam_beta2': 0.9528080695271491, 'warmup_steps': 481, 'train_batch': 24}
[Trial 24] Config: {'learning_rate': np.float64(8.432923949352256e-05), 'weight_decay': np.float64(2.2079461555134966e-05), 'adam_beta1': 0.8230125859379769, 'adam_beta2': 0.9528080695271491, 'warmup_steps': 481, 'train_batch': 24}
[Trial 25] Config: {'learning_rate': np.float64(5.070668866087668e-05), 'weight_decay': np.float64(3.0721054285740805e-05), 'adam_beta1': 0.8016783872246742, 'adam_beta2': 0.9516497179567813, 'warmup_steps': 324, 'train_batch': 15}
[Trial 25] Config: {'learning_rate': np.float64(5.070668866087668e-05), 'weight_decay': np.float64(3.0721054285740805e-05), 'adam_beta1': 0.8016783872246742, 'adam_beta2': 0.9516497179567813, 'warmup_steps': 324, 'train_batch': 15}
[Trial 26] Config: {'learning_rate': np.float64(7.69304064955661e-06), 'weight_decay': np.float64(0.000605943760361463), 'adam_beta1': 0.8724259078502655, 'adam_beta2': 0.9845636649131775, 'warmup_steps': 333, 'train_batch': 25}
[Trial 26] Config: {'learning_rate': np.float64(7.69304064955661e-06), 'weight_decay': np.float64(0.000605943760361463), 'adam_beta1': 0.8724259078502655, 'adam_beta2': 0.9845636649131775, 'warmup_steps': 333, 'train_batch': 25}
[Trial 27] Config: {'learning_rate': np.float64(5.36673292097841e-06), 'weight_decay': np.float64(0.0002610159126245464), 'adam_beta1': 0.8976601129770279, 'adam_beta2': 0.9590128464698792, 'warmup_steps': 293, 'train_batch': 27}
[Trial 27] Config: {'learning_rate': np.float64(5.36673292097841e-06), 'weight_decay': np.float64(0.0002610159126245464), 'adam_beta1': 0.8976601129770279, 'adam_beta2': 0.9590128464698792, 'warmup_steps': 293, 'train_batch': 27}
[Trial 28] Config: {'learning_rate': np.float64(4.23350699896009e-06), 'weight_decay': np.float64(0.00011358715019604562), 'adam_beta1': 0.9448519515991212, 'adam_beta2': 0.9548743712007999, 'warmup_steps': 498, 'train_batch': 25}
[Trial 28] Config: {'learning_rate': np.float64(4.23350699896009e-06), 'weight_decay': np.float64(0.00011358715019604562), 'adam_beta1': 0.9448519515991212, 'adam_beta2': 0.9548743712007999, 'warmup_steps': 498, 'train_batch': 25}
[Trial 29] Config: {'learning_rate': np.float64(1.9287994884857797e-06), 'weight_decay': np.float64(0.0004895221723704952), 'adam_beta1': 0.8461191514134407, 'adam_beta2': 0.9987580172419548, 'warmup_steps': 76, 'train_batch': 32}
[Trial 29] Config: {'learning_rate': np.float64(1.9287994884857797e-06), 'weight_decay': np.float64(0.0004895221723704952), 'adam_beta1': 0.8461191514134407, 'adam_beta2': 0.9987580172419548, 'warmup_steps': 76, 'train_batch': 32}
[Trial 30] Config: {'learning_rate': np.float64(1.7250776862698746e-05), 'weight_decay': np.float64(1.609135291279671e-05), 'adam_beta1': 0.8970966774225235, 'adam_beta2': 0.9662783865928649, 'warmup_steps': 102, 'train_batch': 21}
[Trial 30] Config: {'learning_rate': np.float64(1.7250776862698746e-05), 'weight_decay': np.float64(1.609135291279671e-05), 'adam_beta1': 0.8970966774225235, 'adam_beta2': 0.9662783865928649, 'warmup_steps': 102, 'train_batch': 21}
[Trial 31] Config: {'learning_rate': np.float64(2.1146353406120876e-05), 'weight_decay': np.float64(0.0003215647452430222), 'adam_beta1': 0.9550991469621658, 'adam_beta2': 0.96118021646142, 'warmup_steps': 213, 'train_batch': 10}
[Trial 31] Config: {'learning_rate': np.float64(2.1146353406120876e-05), 'weight_decay': np.float64(0.0003215647452430222), 'adam_beta1': 0.9550991469621658, 'adam_beta2': 0.96118021646142, 'warmup_steps': 213, 'train_batch': 10}
[Trial 32] Config: {'learning_rate': np.float64(2.017889164733667e-06), 'weight_decay': np.float64(0.00036127722608349016), 'adam_beta1': 0.8137758362293244, 'adam_beta2': 0.9603358089923858, 'warmup_steps': 202, 'train_batch': 11}
[Trial 32] Config: {'learning_rate': np.float64(2.017889164733667e-06), 'weight_decay': np.float64(0.00036127722608349016), 'adam_beta1': 0.8137758362293244, 'adam_beta2': 0.9603358089923858, 'warmup_steps': 202, 'train_batch': 11}
[Trial 33] Config: {'learning_rate': np.float64(6.450051168784183e-05), 'weight_decay': np.float64(0.0006319518291409164), 'adam_beta1': 0.9629554784297943, 'adam_beta2': 0.9543946624994277, 'warmup_steps': 68, 'train_batch': 18}
[Trial 33] Config: {'learning_rate': np.float64(6.450051168784183e-05), 'weight_decay': np.float64(0.0006319518291409164), 'adam_beta1': 0.9629554784297943, 'adam_beta2': 0.9543946624994277, 'warmup_steps': 68, 'train_batch': 18}
[Trial 34] Config: {'learning_rate': np.float64(1.4283105615601328e-06), 'weight_decay': np.float64(1.3700484198552744e-05), 'adam_beta1': 0.9721471720933914, 'adam_beta2': 0.9552652577757835, 'warmup_steps': 184, 'train_batch': 17}
[Trial 34] Config: {'learning_rate': np.float64(1.4283105615601328e-06), 'weight_decay': np.float64(1.3700484198552744e-05), 'adam_beta1': 0.9721471720933914, 'adam_beta2': 0.9552652577757835, 'warmup_steps': 184, 'train_batch': 17}
[Trial 35] Config: {'learning_rate': np.float64(1.0613586344002516e-06), 'weight_decay': np.float64(2.2577239264992887e-05), 'adam_beta1': 0.920031014084816, 'adam_beta2': 0.9917768089771271, 'warmup_steps': 280, 'train_batch': 27}
[Trial 35] Config: {'learning_rate': np.float64(1.0613586344002516e-06), 'weight_decay': np.float64(2.2577239264992887e-05), 'adam_beta1': 0.920031014084816, 'adam_beta2': 0.9917768089771271, 'warmup_steps': 280, 'train_batch': 27}
[Trial 36] Config: {'learning_rate': np.float64(4.089509386379515e-05), 'weight_decay': np.float64(0.00023801917635051504), 'adam_beta1': 0.9767785847187043, 'adam_beta2': 0.9841630073785782, 'warmup_steps': 254, 'train_batch': 8}
[Trial 36] Config: {'learning_rate': np.float64(4.089509386379515e-05), 'weight_decay': np.float64(0.00023801917635051504), 'adam_beta1': 0.9767785847187043, 'adam_beta2': 0.9841630073785782, 'warmup_steps': 254, 'train_batch': 8}
[Trial 37] Config: {'learning_rate': np.float64(2.0885842300228088e-05), 'weight_decay': np.float64(0.0005304237539877414), 'adam_beta1': 0.8145700559020043, 'adam_beta2': 0.9723984536528587, 'warmup_steps': 200, 'train_batch': 14}
[Trial 37] Config: {'learning_rate': np.float64(2.0885842300228088e-05), 'weight_decay': np.float64(0.0005304237539877414), 'adam_beta1': 0.8145700559020043, 'adam_beta2': 0.9723984536528587, 'warmup_steps': 200, 'train_batch': 14}
[Trial 38] Config: {'learning_rate': np.float64(3.869425455357208e-05), 'weight_decay': np.float64(0.000866084844704504), 'adam_beta1': 0.815592477619648, 'adam_beta2': 0.9575825727880001, 'warmup_steps': 314, 'train_batch': 21}
[Trial 38] Config: {'learning_rate': np.float64(3.869425455357208e-05), 'weight_decay': np.float64(0.000866084844704504), 'adam_beta1': 0.815592477619648, 'adam_beta2': 0.9575825727880001, 'warmup_steps': 314, 'train_batch': 21}
[Trial 39] Config: {'learning_rate': np.float64(2.133902236461405e-05), 'weight_decay': np.float64(0.00011969940152707169), 'adam_beta1': 0.9365146070718765, 'adam_beta2': 0.9921475067138672, 'warmup_steps': 72, 'train_batch': 27}
[Trial 39] Config: {'learning_rate': np.float64(2.133902236461405e-05), 'weight_decay': np.float64(0.00011969940152707169), 'adam_beta1': 0.9365146070718765, 'adam_beta2': 0.9921475067138672, 'warmup_steps': 72, 'train_batch': 27}
[Trial 40] Config: {'learning_rate': np.float64(2.481986138435443e-05), 'weight_decay': np.float64(0.00014826939048138486), 'adam_beta1': 0.8228756907582283, 'adam_beta2': 0.9779900915622711, 'warmup_steps': 359, 'train_batch': 11}
[Trial 40] Config: {'learning_rate': np.float64(2.481986138435443e-05), 'weight_decay': np.float64(0.00014826939048138486), 'adam_beta1': 0.8228756907582283, 'adam_beta2': 0.9779900915622711, 'warmup_steps': 359, 'train_batch': 11}
[Trial 41] Config: {'learning_rate': np.float64(4.4529912145924066e-05), 'weight_decay': np.float64(1.531225954486071e-05), 'adam_beta1': 0.8113270738720895, 'adam_beta2': 0.9642836096286773, 'warmup_steps': 408, 'train_batch': 20}
[Trial 41] Config: {'learning_rate': np.float64(4.4529912145924066e-05), 'weight_decay': np.float64(1.531225954486071e-05), 'adam_beta1': 0.8113270738720895, 'adam_beta2': 0.9642836096286773, 'warmup_steps': 408, 'train_batch': 20}
[Trial 42] Config: {'learning_rate': np.float64(7.635362596523298e-06), 'weight_decay': np.float64(1.1948497689964017e-05), 'adam_beta1': 0.8510125708580017, 'adam_beta2': 0.969558671951294, 'warmup_steps': 428, 'train_batch': 12}
[Trial 42] Config: {'learning_rate': np.float64(7.635362596523298e-06), 'weight_decay': np.float64(1.1948497689964017e-05), 'adam_beta1': 0.8510125708580017, 'adam_beta2': 0.969558671951294, 'warmup_steps': 428, 'train_batch': 12}
[Trial 43] Config: {'learning_rate': np.float64(2.408713211742346e-06), 'weight_decay': np.float64(0.0006363920794620238), 'adam_beta1': 0.9370040911436082, 'adam_beta2': 0.9858925329446793, 'warmup_steps': 114, 'train_batch': 18}
[Trial 43] Config: {'learning_rate': np.float64(2.408713211742346e-06), 'weight_decay': np.float64(0.0006363920794620238), 'adam_beta1': 0.9370040911436082, 'adam_beta2': 0.9858925329446793, 'warmup_steps': 114, 'train_batch': 18}
[Trial 44] Config: {'learning_rate': np.float64(5.149634145248565e-05), 'weight_decay': np.float64(2.7625421661736693e-05), 'adam_beta1': 0.815183790922165, 'adam_beta2': 0.9847673261165619, 'warmup_steps': 210, 'train_batch': 22}
[Trial 44] Config: {'learning_rate': np.float64(5.149634145248565e-05), 'weight_decay': np.float64(2.7625421661736693e-05), 'adam_beta1': 0.815183790922165, 'adam_beta2': 0.9847673261165619, 'warmup_steps': 210, 'train_batch': 22}
[Trial 45] Config: {'learning_rate': np.float64(2.5090788956357203e-06), 'weight_decay': np.float64(0.00032334539579678505), 'adam_beta1': 0.805316635966301, 'adam_beta2': 0.9919010583162308, 'warmup_steps': 68, 'train_batch': 22}
[Trial 45] Config: {'learning_rate': np.float64(2.5090788956357203e-06), 'weight_decay': np.float64(0.00032334539579678505), 'adam_beta1': 0.805316635966301, 'adam_beta2': 0.9919010583162308, 'warmup_steps': 68, 'train_batch': 22}
[Trial 46] Config: {'learning_rate': np.float64(1.967225913692745e-05), 'weight_decay': np.float64(0.00012716528457060313), 'adam_beta1': 0.9784343957901, 'adam_beta2': 0.9970691088438034, 'warmup_steps': 218, 'train_batch': 32}
[Trial 46] Config: {'learning_rate': np.float64(1.967225913692745e-05), 'weight_decay': np.float64(0.00012716528457060313), 'adam_beta1': 0.9784343957901, 'adam_beta2': 0.9970691088438034, 'warmup_steps': 218, 'train_batch': 32}
[Trial 47] Config: {'learning_rate': np.float64(4.079434783995615e-05), 'weight_decay': np.float64(1.3321507769076258e-05), 'adam_beta1': 0.8895594018697739, 'adam_beta2': 0.994213368833065, 'warmup_steps': 81, 'train_batch': 29}
[Trial 47] Config: {'learning_rate': np.float64(4.079434783995615e-05), 'weight_decay': np.float64(1.3321507769076258e-05), 'adam_beta1': 0.8895594018697739, 'adam_beta2': 0.994213368833065, 'warmup_steps': 81, 'train_batch': 29}
[Trial 48] Config: {'learning_rate': np.float64(1.4040697948917253e-06), 'weight_decay': np.float64(5.33267848520319e-05), 'adam_beta1': 0.9851927798986435, 'adam_beta2': 0.9954240419864655, 'warmup_steps': 58, 'train_batch': 28}
[Trial 48] Config: {'learning_rate': np.float64(1.4040697948917253e-06), 'weight_decay': np.float64(5.33267848520319e-05), 'adam_beta1': 0.9851927798986435, 'adam_beta2': 0.9954240419864655, 'warmup_steps': 58, 'train_batch': 28}
[Trial 49] Config: {'learning_rate': np.float64(7.231801422747574e-06), 'weight_decay': np.float64(0.0002052172661256601), 'adam_beta1': 0.893115958571434, 'adam_beta2': 0.954743332862854, 'warmup_steps': 465, 'train_batch': 8}
[Trial 49] Config: {'learning_rate': np.float64(7.231801422747574e-06), 'weight_decay': np.float64(0.0002052172661256601), 'adam_beta1': 0.893115958571434, 'adam_beta2': 0.954743332862854, 'warmup_steps': 465, 'train_batch': 8}
[Trial 50] Config: {'learning_rate': np.float64(4.7799090896154015e-05), 'weight_decay': np.float64(1.054813155411715e-05), 'adam_beta1': 0.8931734776496887, 'adam_beta2': 0.9577957347929478, 'warmup_steps': 390, 'train_batch': 23}
[Trial 50] Config: {'learning_rate': np.float64(4.7799090896154015e-05), 'weight_decay': np.float64(1.054813155411715e-05), 'adam_beta1': 0.8931734776496887, 'adam_beta2': 0.9577957347929478, 'warmup_steps': 390, 'train_batch': 23}
