[Trial 1] Config: {'learning_rate': np.float64(1.2727033806056509e-06), 'weight_decay': np.float64(1.4940782894917619e-05), 'adam_beta1': 0.8773759350973757, 'adam_beta2': 0.9552773115119835, 'warmup_steps': 497, 'train_batch': 9}
[Trial 3] Config: {'learning_rate': np.float64(1.3241098548754205e-05), 'weight_decay': np.float64(0.0002531509596573561), 'adam_beta1': 0.8311176005029485, 'adam_beta2': 0.9943893725825661, 'warmup_steps': 446, 'train_batch': 10}
[Trial 4] Config: {'learning_rate': np.float64(5.718217551332427e-05), 'weight_decay': np.float64(5.6910126891017634e-05), 'adam_beta1': 0.8012530576433033, 'adam_beta2': 0.9858699234349114, 'warmup_steps': 102, 'train_batch': 9}
[Trial 4] Config: {'learning_rate': np.float64(5.718217551332427e-05), 'weight_decay': np.float64(5.6910126891017634e-05), 'adam_beta1': 0.8012530576433033, 'adam_beta2': 0.9858699234349114, 'warmup_steps': 102, 'train_batch': 9}
[Trial 4] Config: {'learning_rate': np.float64(5.718217551332427e-05), 'weight_decay': np.float64(5.6910126891017634e-05), 'adam_beta1': 0.8012530576433033, 'adam_beta2': 0.9858699234349114, 'warmup_steps': 102, 'train_batch': 9}
[Trial 4] Config: {'learning_rate': np.float64(5.718217551332427e-05), 'weight_decay': np.float64(5.6910126891017634e-05), 'adam_beta1': 0.8012530576433033, 'adam_beta2': 0.9858699234349114, 'warmup_steps': 102, 'train_batch': 9}
[Trial 5] Config: {'learning_rate': np.float64(1.5329539991725002e-06), 'weight_decay': np.float64(1.9246427534829095e-05), 'adam_beta1': 0.9501136504281723, 'adam_beta2': 0.9510405627660324, 'warmup_steps': 270, 'train_batch': 26}
[Trial 5] Config: {'learning_rate': np.float64(1.5329539991725002e-06), 'weight_decay': np.float64(1.9246427534829095e-05), 'adam_beta1': 0.9501136504281723, 'adam_beta2': 0.9510405627660324, 'warmup_steps': 270, 'train_batch': 26}
[Trial 5] Config: {'learning_rate': np.float64(1.5329539991725002e-06), 'weight_decay': np.float64(1.9246427534829095e-05), 'adam_beta1': 0.9501136504281723, 'adam_beta2': 0.9510405627660324, 'warmup_steps': 270, 'train_batch': 26}
[Trial 5] Config: {'learning_rate': np.float64(1.5329539991725002e-06), 'weight_decay': np.float64(1.9246427534829095e-05), 'adam_beta1': 0.9501136504281723, 'adam_beta2': 0.9510405627660324, 'warmup_steps': 270, 'train_batch': 26}
[Trial 6] Config: {'learning_rate': np.float64(8.991802752763545e-06), 'weight_decay': np.float64(8.68131177480033e-05), 'adam_beta1': 0.806981234819226, 'adam_beta2': 0.9649497592734518, 'warmup_steps': 317, 'train_batch': 23}
[Trial 6] Config: {'learning_rate': np.float64(8.991802752763545e-06), 'weight_decay': np.float64(8.68131177480033e-05), 'adam_beta1': 0.806981234819226, 'adam_beta2': 0.9649497592734518, 'warmup_steps': 317, 'train_batch': 23}
[Trial 6] Config: {'learning_rate': np.float64(8.991802752763545e-06), 'weight_decay': np.float64(8.68131177480033e-05), 'adam_beta1': 0.806981234819226, 'adam_beta2': 0.9649497592734518, 'warmup_steps': 317, 'train_batch': 23}
[Trial 6] Config: {'learning_rate': np.float64(8.991802752763545e-06), 'weight_decay': np.float64(8.68131177480033e-05), 'adam_beta1': 0.806981234819226, 'adam_beta2': 0.9649497592734518, 'warmup_steps': 317, 'train_batch': 23}
[Trial 7] Config: {'learning_rate': np.float64(2.592536869215399e-06), 'weight_decay': np.float64(0.00016512204262735146), 'adam_beta1': 0.9001442409106691, 'adam_beta2': 0.9896575877075464, 'warmup_steps': 211, 'train_batch': 8}
[Trial 7] Config: {'learning_rate': np.float64(2.592536869215399e-06), 'weight_decay': np.float64(0.00016512204262735146), 'adam_beta1': 0.9001442409106691, 'adam_beta2': 0.9896575877075464, 'warmup_steps': 211, 'train_batch': 8}
[Trial 7] Config: {'learning_rate': np.float64(2.592536869215399e-06), 'weight_decay': np.float64(0.00016512204262735146), 'adam_beta1': 0.9001442409106691, 'adam_beta2': 0.9896575877075464, 'warmup_steps': 211, 'train_batch': 8}
[Trial 7] Config: {'learning_rate': np.float64(2.592536869215399e-06), 'weight_decay': np.float64(0.00016512204262735146), 'adam_beta1': 0.9001442409106691, 'adam_beta2': 0.9896575877075464, 'warmup_steps': 211, 'train_batch': 8}
[Trial 8] Config: {'learning_rate': np.float64(6.258587133177396e-06), 'weight_decay': np.float64(0.00034558762277875696), 'adam_beta1': 0.8974229054341724, 'adam_beta2': 0.9835570237143892, 'warmup_steps': 376, 'train_batch': 29}
[Trial 8] Config: {'learning_rate': np.float64(6.258587133177396e-06), 'weight_decay': np.float64(0.00034558762277875696), 'adam_beta1': 0.8974229054341724, 'adam_beta2': 0.9835570237143892, 'warmup_steps': 376, 'train_batch': 29}
[Trial 8] Config: {'learning_rate': np.float64(6.258587133177396e-06), 'weight_decay': np.float64(0.00034558762277875696), 'adam_beta1': 0.8974229054341724, 'adam_beta2': 0.9835570237143892, 'warmup_steps': 376, 'train_batch': 29}
[Trial 8] Config: {'learning_rate': np.float64(6.258587133177396e-06), 'weight_decay': np.float64(0.00034558762277875696), 'adam_beta1': 0.8974229054341724, 'adam_beta2': 0.9835570237143892, 'warmup_steps': 376, 'train_batch': 29}
[Trial 9] Config: {'learning_rate': np.float64(1.5595852587447415e-05), 'weight_decay': np.float64(0.0004645383254055574), 'adam_beta1': 0.8989157107249599, 'adam_beta2': 0.9705553161751594, 'warmup_steps': 311, 'train_batch': 9}
[Trial 9] Config: {'learning_rate': np.float64(1.5595852587447415e-05), 'weight_decay': np.float64(0.0004645383254055574), 'adam_beta1': 0.8989157107249599, 'adam_beta2': 0.9705553161751594, 'warmup_steps': 311, 'train_batch': 9}
[Trial 9] Config: {'learning_rate': np.float64(1.5595852587447415e-05), 'weight_decay': np.float64(0.0004645383254055574), 'adam_beta1': 0.8989157107249599, 'adam_beta2': 0.9705553161751594, 'warmup_steps': 311, 'train_batch': 9}
[Trial 9] Config: {'learning_rate': np.float64(1.5595852587447415e-05), 'weight_decay': np.float64(0.0004645383254055574), 'adam_beta1': 0.8989157107249599, 'adam_beta2': 0.9705553161751594, 'warmup_steps': 311, 'train_batch': 9}
[Trial 10] Config: {'learning_rate': np.float64(4.950893258547503e-05), 'weight_decay': np.float64(0.00019539016817832138), 'adam_beta1': 0.9379072899061154, 'adam_beta2': 0.9540478784648228, 'warmup_steps': 299, 'train_batch': 29}
[Trial 10] Config: {'learning_rate': np.float64(4.950893258547503e-05), 'weight_decay': np.float64(0.00019539016817832138), 'adam_beta1': 0.9379072899061154, 'adam_beta2': 0.9540478784648228, 'warmup_steps': 299, 'train_batch': 29}
[Trial 10] Config: {'learning_rate': np.float64(4.950893258547503e-05), 'weight_decay': np.float64(0.00019539016817832138), 'adam_beta1': 0.9379072899061154, 'adam_beta2': 0.9540478784648228, 'warmup_steps': 299, 'train_batch': 29}
[Trial 10] Config: {'learning_rate': np.float64(4.950893258547503e-05), 'weight_decay': np.float64(0.00019539016817832138), 'adam_beta1': 0.9379072899061154, 'adam_beta2': 0.9540478784648228, 'warmup_steps': 299, 'train_batch': 29}
[Trial 11] Config: {'learning_rate': np.float64(3.9561923868891115e-06), 'weight_decay': np.float64(0.0001904455073093505), 'adam_beta1': 0.8947394710779191, 'adam_beta2': 0.9975212015509606, 'warmup_steps': 57, 'train_batch': 9}
[Trial 11] Config: {'learning_rate': np.float64(3.9561923868891115e-06), 'weight_decay': np.float64(0.0001904455073093505), 'adam_beta1': 0.8947394710779191, 'adam_beta2': 0.9975212015509606, 'warmup_steps': 57, 'train_batch': 9}
[Trial 11] Config: {'learning_rate': np.float64(3.9561923868891115e-06), 'weight_decay': np.float64(0.0001904455073093505), 'adam_beta1': 0.8947394710779191, 'adam_beta2': 0.9975212015509606, 'warmup_steps': 57, 'train_batch': 9}
[Trial 11] Config: {'learning_rate': np.float64(3.9561923868891115e-06), 'weight_decay': np.float64(0.0001904455073093505), 'adam_beta1': 0.8947394710779191, 'adam_beta2': 0.9975212015509606, 'warmup_steps': 57, 'train_batch': 9}
[Trial 12] Config: {'learning_rate': np.float64(6.849277807310025e-06), 'weight_decay': np.float64(0.00011554665377611539), 'adam_beta1': 0.8405766180157662, 'adam_beta2': 0.9900501894354821, 'warmup_steps': 86, 'train_batch': 31}
[Trial 12] Config: {'learning_rate': np.float64(6.849277807310025e-06), 'weight_decay': np.float64(0.00011554665377611539), 'adam_beta1': 0.8405766180157662, 'adam_beta2': 0.9900501894354821, 'warmup_steps': 86, 'train_batch': 31}
[Trial 12] Config: {'learning_rate': np.float64(6.849277807310025e-06), 'weight_decay': np.float64(0.00011554665377611539), 'adam_beta1': 0.8405766180157662, 'adam_beta2': 0.9900501894354821, 'warmup_steps': 86, 'train_batch': 31}
[Trial 12] Config: {'learning_rate': np.float64(6.849277807310025e-06), 'weight_decay': np.float64(0.00011554665377611539), 'adam_beta1': 0.8405766180157662, 'adam_beta2': 0.9900501894354821, 'warmup_steps': 86, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(9.760710886991345e-05), 'weight_decay': np.float64(0.000693592309432622), 'adam_beta1': 0.8427040424942971, 'adam_beta2': 0.9711745281517505, 'warmup_steps': 457, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(9.760710886991345e-05), 'weight_decay': np.float64(0.000693592309432622), 'adam_beta1': 0.8427040424942971, 'adam_beta2': 0.9711745281517505, 'warmup_steps': 457, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(9.760710886991345e-05), 'weight_decay': np.float64(0.000693592309432622), 'adam_beta1': 0.8427040424942971, 'adam_beta2': 0.9711745281517505, 'warmup_steps': 457, 'train_batch': 31}
[Trial 13] Config: {'learning_rate': np.float64(9.760710886991345e-05), 'weight_decay': np.float64(0.000693592309432622), 'adam_beta1': 0.8427040424942971, 'adam_beta2': 0.9711745281517505, 'warmup_steps': 457, 'train_batch': 31}
[Trial 14] Config: {'learning_rate': np.float64(2.099419413455046e-05), 'weight_decay': np.float64(0.000180943442480341), 'adam_beta1': 0.8538907104730606, 'adam_beta2': 0.9507725629508494, 'warmup_steps': 315, 'train_batch': 27}
[Trial 14] Config: {'learning_rate': np.float64(2.099419413455046e-05), 'weight_decay': np.float64(0.000180943442480341), 'adam_beta1': 0.8538907104730606, 'adam_beta2': 0.9507725629508494, 'warmup_steps': 315, 'train_batch': 27}
[Trial 14] Config: {'learning_rate': np.float64(2.099419413455046e-05), 'weight_decay': np.float64(0.000180943442480341), 'adam_beta1': 0.8538907104730606, 'adam_beta2': 0.9507725629508494, 'warmup_steps': 315, 'train_batch': 27}
[Trial 14] Config: {'learning_rate': np.float64(2.099419413455046e-05), 'weight_decay': np.float64(0.000180943442480341), 'adam_beta1': 0.8538907104730606, 'adam_beta2': 0.9507725629508494, 'warmup_steps': 315, 'train_batch': 27}
[Trial 15] Config: {'learning_rate': np.float64(1.2280173144341375e-06), 'weight_decay': np.float64(0.0003791269911479355), 'adam_beta1': 0.9599224710464478, 'adam_beta2': 0.9543483019173145, 'warmup_steps': 493, 'train_batch': 31}
[Trial 15] Config: {'learning_rate': np.float64(1.2280173144341375e-06), 'weight_decay': np.float64(0.0003791269911479355), 'adam_beta1': 0.9599224710464478, 'adam_beta2': 0.9543483019173145, 'warmup_steps': 493, 'train_batch': 31}
[Trial 15] Config: {'learning_rate': np.float64(1.2280173144341375e-06), 'weight_decay': np.float64(0.0003791269911479355), 'adam_beta1': 0.9599224710464478, 'adam_beta2': 0.9543483019173145, 'warmup_steps': 493, 'train_batch': 31}
[Trial 15] Config: {'learning_rate': np.float64(1.2280173144341375e-06), 'weight_decay': np.float64(0.0003791269911479355), 'adam_beta1': 0.9599224710464478, 'adam_beta2': 0.9543483019173145, 'warmup_steps': 493, 'train_batch': 31}
[Trial 16] Config: {'learning_rate': np.float64(3.0579221583584794e-05), 'weight_decay': np.float64(2.828524215973296e-05), 'adam_beta1': 0.8553505104780197, 'adam_beta2': 0.9968592091798782, 'warmup_steps': 56, 'train_batch': 28}
[Trial 16] Config: {'learning_rate': np.float64(3.0579221583584794e-05), 'weight_decay': np.float64(2.828524215973296e-05), 'adam_beta1': 0.8553505104780197, 'adam_beta2': 0.9968592091798782, 'warmup_steps': 56, 'train_batch': 28}
[Trial 16] Config: {'learning_rate': np.float64(3.0579221583584794e-05), 'weight_decay': np.float64(2.828524215973296e-05), 'adam_beta1': 0.8553505104780197, 'adam_beta2': 0.9968592091798782, 'warmup_steps': 56, 'train_batch': 28}
[Trial 16] Config: {'learning_rate': np.float64(3.0579221583584794e-05), 'weight_decay': np.float64(2.828524215973296e-05), 'adam_beta1': 0.8553505104780197, 'adam_beta2': 0.9968592091798782, 'warmup_steps': 56, 'train_batch': 28}
[Trial 17] Config: {'learning_rate': np.float64(6.164196308123396e-05), 'weight_decay': np.float64(0.00027955999819111643), 'adam_beta1': 0.8150513577461244, 'adam_beta2': 0.9513009804189205, 'warmup_steps': 444, 'train_batch': 30}
[Trial 17] Config: {'learning_rate': np.float64(6.164196308123396e-05), 'weight_decay': np.float64(0.00027955999819111643), 'adam_beta1': 0.8150513577461244, 'adam_beta2': 0.9513009804189205, 'warmup_steps': 444, 'train_batch': 30}
[Trial 17] Config: {'learning_rate': np.float64(6.164196308123396e-05), 'weight_decay': np.float64(0.00027955999819111643), 'adam_beta1': 0.8150513577461244, 'adam_beta2': 0.9513009804189205, 'warmup_steps': 444, 'train_batch': 30}
[Trial 17] Config: {'learning_rate': np.float64(6.164196308123396e-05), 'weight_decay': np.float64(0.00027955999819111643), 'adam_beta1': 0.8150513577461244, 'adam_beta2': 0.9513009804189205, 'warmup_steps': 444, 'train_batch': 30}
[Trial 18] Config: {'learning_rate': np.float64(1.52988786647367e-05), 'weight_decay': np.float64(0.0008016050903455235), 'adam_beta1': 0.8999082154035568, 'adam_beta2': 0.9876083549261093, 'warmup_steps': 69, 'train_batch': 31}
[Trial 18] Config: {'learning_rate': np.float64(1.52988786647367e-05), 'weight_decay': np.float64(0.0008016050903455235), 'adam_beta1': 0.8999082154035568, 'adam_beta2': 0.9876083549261093, 'warmup_steps': 69, 'train_batch': 31}
[Trial 18] Config: {'learning_rate': np.float64(1.52988786647367e-05), 'weight_decay': np.float64(0.0008016050903455235), 'adam_beta1': 0.8999082154035568, 'adam_beta2': 0.9876083549261093, 'warmup_steps': 69, 'train_batch': 31}
[Trial 18] Config: {'learning_rate': np.float64(1.52988786647367e-05), 'weight_decay': np.float64(0.0008016050903455235), 'adam_beta1': 0.8999082154035568, 'adam_beta2': 0.9876083549261093, 'warmup_steps': 69, 'train_batch': 31}
[Trial 19] Config: {'learning_rate': np.float64(2.2258265782362227e-06), 'weight_decay': np.float64(3.333213177075867e-05), 'adam_beta1': 0.8992094248533249, 'adam_beta2': 0.9564739668071269, 'warmup_steps': 217, 'train_batch': 26}
[Trial 19] Config: {'learning_rate': np.float64(2.2258265782362227e-06), 'weight_decay': np.float64(3.333213177075867e-05), 'adam_beta1': 0.8992094248533249, 'adam_beta2': 0.9564739668071269, 'warmup_steps': 217, 'train_batch': 26}
[Trial 19] Config: {'learning_rate': np.float64(2.2258265782362227e-06), 'weight_decay': np.float64(3.333213177075867e-05), 'adam_beta1': 0.8992094248533249, 'adam_beta2': 0.9564739668071269, 'warmup_steps': 217, 'train_batch': 26}
[Trial 19] Config: {'learning_rate': np.float64(2.2258265782362227e-06), 'weight_decay': np.float64(3.333213177075867e-05), 'adam_beta1': 0.8992094248533249, 'adam_beta2': 0.9564739668071269, 'warmup_steps': 217, 'train_batch': 26}
[Trial 20] Config: {'learning_rate': np.float64(4.6106303469154356e-05), 'weight_decay': np.float64(1.5754393996713685e-05), 'adam_beta1': 0.8149214500188828, 'adam_beta2': 0.9883943834304809, 'warmup_steps': 166, 'train_batch': 21}
[Trial 20] Config: {'learning_rate': np.float64(4.6106303469154356e-05), 'weight_decay': np.float64(1.5754393996713685e-05), 'adam_beta1': 0.8149214500188828, 'adam_beta2': 0.9883943834304809, 'warmup_steps': 166, 'train_batch': 21}
[Trial 20] Config: {'learning_rate': np.float64(4.6106303469154356e-05), 'weight_decay': np.float64(1.5754393996713685e-05), 'adam_beta1': 0.8149214500188828, 'adam_beta2': 0.9883943834304809, 'warmup_steps': 166, 'train_batch': 21}
[Trial 20] Config: {'learning_rate': np.float64(4.6106303469154356e-05), 'weight_decay': np.float64(1.5754393996713685e-05), 'adam_beta1': 0.8149214500188828, 'adam_beta2': 0.9883943834304809, 'warmup_steps': 166, 'train_batch': 21}
[Trial 21] Config: {'learning_rate': np.float64(4.9648237719622636e-06), 'weight_decay': np.float64(0.0006049418148981481), 'adam_beta1': 0.8346401882171631, 'adam_beta2': 0.9842101492285729, 'warmup_steps': 53, 'train_batch': 31}
[Trial 21] Config: {'learning_rate': np.float64(4.9648237719622636e-06), 'weight_decay': np.float64(0.0006049418148981481), 'adam_beta1': 0.8346401882171631, 'adam_beta2': 0.9842101492285729, 'warmup_steps': 53, 'train_batch': 31}
[Trial 21] Config: {'learning_rate': np.float64(4.9648237719622636e-06), 'weight_decay': np.float64(0.0006049418148981481), 'adam_beta1': 0.8346401882171631, 'adam_beta2': 0.9842101492285729, 'warmup_steps': 53, 'train_batch': 31}
[Trial 21] Config: {'learning_rate': np.float64(4.9648237719622636e-06), 'weight_decay': np.float64(0.0006049418148981481), 'adam_beta1': 0.8346401882171631, 'adam_beta2': 0.9842101492285729, 'warmup_steps': 53, 'train_batch': 31}
[Trial 22] Config: {'learning_rate': np.float64(1.8632954870001472e-06), 'weight_decay': np.float64(1.0413634352304235e-05), 'adam_beta1': 0.843742160499096, 'adam_beta2': 0.9639196132719516, 'warmup_steps': 251, 'train_batch': 26}
[Trial 22] Config: {'learning_rate': np.float64(1.8632954870001472e-06), 'weight_decay': np.float64(1.0413634352304235e-05), 'adam_beta1': 0.843742160499096, 'adam_beta2': 0.9639196132719516, 'warmup_steps': 251, 'train_batch': 26}
[Trial 22] Config: {'learning_rate': np.float64(1.8632954870001472e-06), 'weight_decay': np.float64(1.0413634352304235e-05), 'adam_beta1': 0.843742160499096, 'adam_beta2': 0.9639196132719516, 'warmup_steps': 251, 'train_batch': 26}
[Trial 22] Config: {'learning_rate': np.float64(1.8632954870001472e-06), 'weight_decay': np.float64(1.0413634352304235e-05), 'adam_beta1': 0.843742160499096, 'adam_beta2': 0.9639196132719516, 'warmup_steps': 251, 'train_batch': 26}
[Trial 23] Config: {'learning_rate': np.float64(1.850126499594625e-05), 'weight_decay': np.float64(5.245745389306717e-05), 'adam_beta1': 0.9404030621051789, 'adam_beta2': 0.9833944471478462, 'warmup_steps': 335, 'train_batch': 10}
[Trial 23] Config: {'learning_rate': np.float64(1.850126499594625e-05), 'weight_decay': np.float64(5.245745389306717e-05), 'adam_beta1': 0.9404030621051789, 'adam_beta2': 0.9833944471478462, 'warmup_steps': 335, 'train_batch': 10}
[Trial 23] Config: {'learning_rate': np.float64(1.850126499594625e-05), 'weight_decay': np.float64(5.245745389306717e-05), 'adam_beta1': 0.9404030621051789, 'adam_beta2': 0.9833944471478462, 'warmup_steps': 335, 'train_batch': 10}
[Trial 23] Config: {'learning_rate': np.float64(1.850126499594625e-05), 'weight_decay': np.float64(5.245745389306717e-05), 'adam_beta1': 0.9404030621051789, 'adam_beta2': 0.9833944471478462, 'warmup_steps': 335, 'train_batch': 10}
[Trial 24] Config: {'learning_rate': np.float64(1.932116072026008e-06), 'weight_decay': np.float64(3.6136331313573914e-05), 'adam_beta1': 0.9701192367076874, 'adam_beta2': 0.9871247603297233, 'warmup_steps': 439, 'train_batch': 25}
[Trial 24] Config: {'learning_rate': np.float64(1.932116072026008e-06), 'weight_decay': np.float64(3.6136331313573914e-05), 'adam_beta1': 0.9701192367076874, 'adam_beta2': 0.9871247603297233, 'warmup_steps': 439, 'train_batch': 25}
[Trial 24] Config: {'learning_rate': np.float64(1.932116072026008e-06), 'weight_decay': np.float64(3.6136331313573914e-05), 'adam_beta1': 0.9701192367076874, 'adam_beta2': 0.9871247603297233, 'warmup_steps': 439, 'train_batch': 25}
[Trial 24] Config: {'learning_rate': np.float64(1.932116072026008e-06), 'weight_decay': np.float64(3.6136331313573914e-05), 'adam_beta1': 0.9701192367076874, 'adam_beta2': 0.9871247603297233, 'warmup_steps': 439, 'train_batch': 25}
[Trial 25] Config: {'learning_rate': np.float64(7.799011081597798e-05), 'weight_decay': np.float64(1.2542988094152902e-05), 'adam_beta1': 0.8757635432481766, 'adam_beta2': 0.9532389321923256, 'warmup_steps': 70, 'train_batch': 13}
[Trial 25] Config: {'learning_rate': np.float64(7.799011081597798e-05), 'weight_decay': np.float64(1.2542988094152902e-05), 'adam_beta1': 0.8757635432481766, 'adam_beta2': 0.9532389321923256, 'warmup_steps': 70, 'train_batch': 13}
[Trial 25] Config: {'learning_rate': np.float64(7.799011081597798e-05), 'weight_decay': np.float64(1.2542988094152902e-05), 'adam_beta1': 0.8757635432481766, 'adam_beta2': 0.9532389321923256, 'warmup_steps': 70, 'train_batch': 13}
[Trial 25] Config: {'learning_rate': np.float64(7.799011081597798e-05), 'weight_decay': np.float64(1.2542988094152902e-05), 'adam_beta1': 0.8757635432481766, 'adam_beta2': 0.9532389321923256, 'warmup_steps': 70, 'train_batch': 13}
[Trial 26] Config: {'learning_rate': np.float64(3.099575731088084e-05), 'weight_decay': np.float64(3.972576031317756e-05), 'adam_beta1': 0.8048752543330193, 'adam_beta2': 0.9555867633819579, 'warmup_steps': 463, 'train_batch': 27}
[Trial 26] Config: {'learning_rate': np.float64(3.099575731088084e-05), 'weight_decay': np.float64(3.972576031317756e-05), 'adam_beta1': 0.8048752543330193, 'adam_beta2': 0.9555867633819579, 'warmup_steps': 463, 'train_batch': 27}
[Trial 26] Config: {'learning_rate': np.float64(3.099575731088084e-05), 'weight_decay': np.float64(3.972576031317756e-05), 'adam_beta1': 0.8048752543330193, 'adam_beta2': 0.9555867633819579, 'warmup_steps': 463, 'train_batch': 27}
[Trial 26] Config: {'learning_rate': np.float64(3.099575731088084e-05), 'weight_decay': np.float64(3.972576031317756e-05), 'adam_beta1': 0.8048752543330193, 'adam_beta2': 0.9555867633819579, 'warmup_steps': 463, 'train_batch': 27}
[Trial 27] Config: {'learning_rate': np.float64(2.06970264734233e-05), 'weight_decay': np.float64(2.4693812065295246e-05), 'adam_beta1': 0.919002760052681, 'adam_beta2': 0.9838399392366409, 'warmup_steps': 248, 'train_batch': 20}
[Trial 27] Config: {'learning_rate': np.float64(2.06970264734233e-05), 'weight_decay': np.float64(2.4693812065295246e-05), 'adam_beta1': 0.919002760052681, 'adam_beta2': 0.9838399392366409, 'warmup_steps': 248, 'train_batch': 20}
[Trial 27] Config: {'learning_rate': np.float64(2.06970264734233e-05), 'weight_decay': np.float64(2.4693808676199005e-05), 'adam_beta1': 0.9190027713775635, 'adam_beta2': 0.9838399392366409, 'warmup_steps': 248, 'train_batch': 20}
[Trial 27] Config: {'learning_rate': np.float64(2.06970264734233e-05), 'weight_decay': np.float64(2.4693808676199005e-05), 'adam_beta1': 0.9190027713775635, 'adam_beta2': 0.9838399392366409, 'warmup_steps': 248, 'train_batch': 20}
[Trial 28] Config: {'learning_rate': np.float64(8.137668420156674e-06), 'weight_decay': np.float64(0.0007194748374485174), 'adam_beta1': 0.9187607133388519, 'adam_beta2': 0.9836615735888481, 'warmup_steps': 152, 'train_batch': 12}
[Trial 28] Config: {'learning_rate': np.float64(8.137668420156674e-06), 'weight_decay': np.float64(0.0007194748374485174), 'adam_beta1': 0.9187607133388519, 'adam_beta2': 0.9836615735888481, 'warmup_steps': 152, 'train_batch': 12}
[Trial 28] Config: {'learning_rate': np.float64(8.137667303304348e-06), 'weight_decay': np.float64(0.0007194748374485174), 'adam_beta1': 0.9187607246637345, 'adam_beta2': 0.9836615735888481, 'warmup_steps': 152, 'train_batch': 12}
[Trial 28] Config: {'learning_rate': np.float64(8.137667303304348e-06), 'weight_decay': np.float64(0.0007194748374485174), 'adam_beta1': 0.9187607246637345, 'adam_beta2': 0.9836615735888481, 'warmup_steps': 152, 'train_batch': 12}
[Trial 29] Config: {'learning_rate': np.float64(7.794501831944792e-06), 'weight_decay': np.float64(0.00019280613322835325), 'adam_beta1': 0.9656627142429351, 'adam_beta2': 0.966718481361866, 'warmup_steps': 452, 'train_batch': 32}
[Trial 29] Config: {'learning_rate': np.float64(7.794501831944792e-06), 'weight_decay': np.float64(0.00019280613322835325), 'adam_beta1': 0.9656627142429351, 'adam_beta2': 0.966718481361866, 'warmup_steps': 452, 'train_batch': 32}
[Trial 29] Config: {'learning_rate': np.float64(7.794501831944792e-06), 'weight_decay': np.float64(0.00019280613322835325), 'adam_beta1': 0.9656627142429351, 'adam_beta2': 0.966718481361866, 'warmup_steps': 452, 'train_batch': 32}
[Trial 29] Config: {'learning_rate': np.float64(7.794501831944792e-06), 'weight_decay': np.float64(0.00019280613322835325), 'adam_beta1': 0.9656627142429351, 'adam_beta2': 0.966718481361866, 'warmup_steps': 452, 'train_batch': 32}
